Cluster_Key,Company,Paint_Name,Cluster_Status,Cluster_Size,Rows_With_Color,Rows_Missing_Color,Product_Lines,Paint_Types,Paint_IDs,Missing_Paint_IDs,Example_Hex,Example_RGB,Example_Source_Paint_ID,Recommended_Action
games workshop|fire dragon bright,Games Workshop,Fire Dragon Bright,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_FIRE_DRAGON_BRIGHT,,#F58652,"245, 134, 82",GW_LAYER_FIRE_DRAGON_BRIGHT,No action needed.
games workshop|flash gitz yellow,Games Workshop,Flash Gitz Yellow,COMPLETE,2,2,0,Air | Layer,Air | Layer,GW_AIR_FLASH_GITZ_YELLOW | GW_LAYER_FLASH_GITZ_YELLOW,,#FFF200,"255, 242, 0",GW_LAYER_FLASH_GITZ_YELLOW,No action needed.
games workshop|flayed one flesh,Games Workshop,Flayed One Flesh,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_FLAYED_ONE_FLESH,,#FCFCDE,"252, 252, 222",GW_LAYER_FLAYED_ONE_FLESH,No action needed.
games workshop|flesh tearers red,Games Workshop,Flesh Tearers Red,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_FLESH_TEARERS_RED,,#9B111E,"155, 17, 30",GW_CONTRAST_FLESH_TEARERS_RED,No action needed.
games workshop|flesh wash,Games Workshop,Flesh Wash,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_FLESH_WASH,,#CE8C42,"206, 140, 66",GW_LAYER_FLESH_WASH,No action needed.
games workshop|fortress grey,Games Workshop,Fortress Grey,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_FORTRESS_GREY,,#BCBDC0,"188, 189, 192",GW_LAYER_FORTRESS_GREY,No action needed.
games workshop|foundation colours knarloc green,Games Workshop,Foundation Colours Knarloc Green,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_FOUNDATION_COLOURS_KNARLOC_GREEN,,#48563C,"72, 86, 60",GW_LAYER_FOUNDATION_COLOURS_KNARLOC_GREEN,No action needed.
games workshop|frostheart,Games Workshop,Frostheart,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_FROSTHEART,,#3CC9E8,"60, 201, 232",GW_CONTRAST_FROSTHEART,No action needed.
games workshop|fuegan orange,Games Workshop,Fuegan Orange,COMPLETE,1,1,0,Shade,Shade,GW_SHADE_FUEGAN_ORANGE,,#C77E4D,"199, 126, 77",GW_SHADE_FUEGAN_ORANGE,No action needed.
games workshop|fulgrim pink,Games Workshop,Fulgrim Pink,COMPLETE,2,2,0,Edge | Layer,Edge | Layer,GW_EDGE_FULGRIM_PINK | GW_LAYER_FULGRIM_PINK,,#F4AFCC,"244, 175, 204",GW_LAYER_FULGRIM_PINK,No action needed.
games workshop|fulgurite copper,Games Workshop,Fulgurite Copper,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_FULGURITE_COPPER,,#E6B77E,"230, 183, 126",GW_LAYER_FULGURITE_COPPER,No action needed.
games workshop|fyreslayer flesh,Games Workshop,Fyreslayer Flesh,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_FYRESLAYER_FLESH,,#B06A42,"176, 106, 66",GW_CONTRAST_FYRESLAYER_FLESH,No action needed.
games workshop|gal vorbak red,Games Workshop,Gal Vorbak Red,COMPLETE,1,1,0,Base,Base,GW_BASE_GAL_VORBAK_RED,,#4B213C,"75, 33, 60",GW_BASE_GAL_VORBAK_RED,No action needed.
games workshop|garaghaks sewer,Games Workshop,Garaghak's Sewer,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_GARAGHAK_S_SEWER,,#4A2F21,"74, 47, 33",GW_CONTRAST_GARAGHAK_S_SEWER,No action needed.
games workshop|gauss blaster green,Games Workshop,Gauss Blaster Green,COMPLETE,2,2,0,Edge | Layer,Edge | Layer,GW_EDGE_GAUSS_BLASTER_GREEN | GW_LAYER_GAUSS_BLASTER_GREEN,,#84C2A9,"132, 194, 169",GW_LAYER_GAUSS_BLASTER_GREEN,No action needed.
games workshop|gehennas gold,Games Workshop,Gehenna's Gold,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_GEHENNA_S_GOLD,,#DBA674,"219, 166, 116",GW_LAYER_GEHENNA_S_GOLD,No action needed.
games workshop|genestealer purple,Games Workshop,Genestealer Purple,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_GENESTEALER_PURPLE,,#7761AB,"119, 97, 171",GW_LAYER_GENESTEALER_PURPLE,No action needed.
games workshop|ghostly grey,Games Workshop,Ghostly Grey,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_GHOSTLY_GREY,,#C3C6CD,"195, 198, 205",GW_LAYER_GHOSTLY_GREY,No action needed.
games workshop|goblin green,Games Workshop,Goblin Green,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_GOBLIN_GREEN,,#3D9353,"61, 147, 83",GW_LAYER_GOBLIN_GREEN,No action needed.
games workshop|golden griffon,Games Workshop,Golden Griffon,COMPLETE,1,1,0,Dry,Dry,GW_DRY_GOLDEN_GRIFFON,,#A99058,"169, 144, 88",GW_DRY_GOLDEN_GRIFFON,No action needed.
games workshop|golden yellow,Games Workshop,Golden Yellow,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_GOLDEN_YELLOW,,#FFC20E,"255, 194, 14",GW_LAYER_GOLDEN_YELLOW,No action needed.
games workshop|golgfag brown,Games Workshop,Golgfag Brown,COMPLETE,1,1,0,Dry,Dry,GW_DRY_GOLGFAG_BROWN,,#C2804F,"194, 128, 79",GW_DRY_GOLGFAG_BROWN,No action needed.
games workshop|gore grunta fur,Games Workshop,Gore-Grunta Fur,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_GORE_GRUNTA_FUR,,#8A4B24,"138, 75, 36",GW_CONTRAST_GORE_GRUNTA_FUR,No action needed.
games workshop|gorthor brown,Games Workshop,Gorthor Brown,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_GORTHOR_BROWN,,#654741,"101, 71, 65",GW_LAYER_GORTHOR_BROWN,No action needed.
games workshop|graveyard earth,Games Workshop,Graveyard Earth,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_GRAVEYARD_EARTH,,#665238,"102, 82, 56",GW_LAYER_GRAVEYARD_EARTH,No action needed.
games workshop|gretchin green,Games Workshop,Gretchin Green,COMPLETE,1,1,0,Foundation,Foundation,GW_FOUNDATION_GRETCHIN_GREEN,,#7E6930,"126, 105, 48",GW_FOUNDATION_GRETCHIN_GREEN,No action needed.
games workshop|grey knights steel,Games Workshop,Grey Knights Steel,COMPLETE,2,2,0,Air | Base,Air | Base,GW_AIR_GREY_KNIGHTS_STEEL | GW_BASE_GREY_KNIGHTS_STEEL,,#7F8E99,"127, 142, 153",GW_BASE_GREY_KNIGHTS_STEEL,No action needed.
games workshop|grey seer,Games Workshop,Grey Seer,COMPLETE,2,2,0,Base | Spray,Base | Spray,GW_BASE_GREY_SEER | GW_SPRAY_GREY_SEER,,#BFC8C8,"191, 200, 200",GW_BASE_GREY_SEER,No action needed.
games workshop|gryph charger grey,Games Workshop,Gryph-Charger Grey,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_GRYPH_CHARGER_GREY,,#8A93A0,"138, 147, 160",GW_CONTRAST_GRYPH_CHARGER_GREY,No action needed.
games workshop|gryph hound orange,Games Workshop,Gryph-Hound Orange,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_GRYPH_HOUND_ORANGE,,#D86A2C,"216, 106, 44",GW_CONTRAST_GRYPH_HOUND_ORANGE,No action needed.
games workshop|gryphonne sepia wash,Games Workshop,Gryphonne Sepia Wash,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_GRYPHONNE_SEPIA_WASH,,#843910,"132, 57, 16",GW_LAYER_GRYPHONNE_SEPIA_WASH,No action needed.
games workshop|guilliman blue,Games Workshop,Guilliman Blue,COMPLETE,1,1,0,Glaze,Glaze,GW_GLAZE_GUILLIMAN_BLUE,,#2F9AD6,"47, 154, 214",GW_GLAZE_GUILLIMAN_BLUE,No action needed.
games workshop|guilliman flesh,Games Workshop,Guilliman Flesh,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_GUILLIMAN_FLESH,,#D6A07A,"214, 160, 122",GW_CONTRAST_GUILLIMAN_FLESH,No action needed.
games workshop|gutrippa flesh,Games Workshop,Gutrippa Flesh,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_GUTRIPPA_FLESH,,#A9BA69,"169, 186, 105",GW_CONTRAST_GUTRIPPA_FLESH,No action needed.
games workshop|hashut copper,Games Workshop,Hashut Copper,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_HASHUT_COPPER,,#B77647,"183, 118, 71",GW_LAYER_HASHUT_COPPER,No action needed.
games workshop|hawk turquoise,Games Workshop,Hawk Turquoise,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_HAWK_TURQUOISE,,#008194,"0, 129, 148",GW_LAYER_HAWK_TURQUOISE,No action needed.
games workshop|hellion green,Games Workshop,Hellion Green,COMPLETE,1,1,0,Dry,Dry,GW_DRY_HELLION_GREEN,,#84C3AA,"132, 195, 170",GW_DRY_HELLION_GREEN,No action needed.
games workshop|hexos palesun,Games Workshop,Hexos Palesun,COMPLETE,1,1,0,Dry,Dry,GW_DRY_HEXOS_PALESUN,,#FFF200,"255, 242, 0",GW_DRY_HEXOS_PALESUN,No action needed.
games workshop|hexwraith flame,Games Workshop,Hexwraith Flame,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_HEXWRAITH_FLAME,,#00AA5C,"0, 170, 92",GW_CONTRAST_HEXWRAITH_FLAME,No action needed.
games workshop|hobgrot hide,Games Workshop,Hobgrot Hide,COMPLETE,1,1,0,Base,Base,GW_BASE_HOBGROT_HIDE,,#9C8855,"156, 136, 85",GW_BASE_HOBGROT_HIDE,No action needed.
games workshop|hoeth blue,Games Workshop,Hoeth Blue,COMPLETE,2,2,0,Dry | Layer,Dry | Layer,GW_DRY_HOETH_BLUE | GW_LAYER_HOETH_BLUE,,#4C7FB4,"76, 127, 180",GW_LAYER_HOETH_BLUE,No action needed.
games workshop|hormagaunt purple,Games Workshop,Hormagaunt Purple,COMPLETE,1,1,0,Foundation,Foundation,GW_FOUNDATION_HORMAGAUNT_PURPLE,,#54496B,"84, 73, 107",GW_FOUNDATION_HORMAGAUNT_PURPLE,No action needed.
games workshop|ice blue,Games Workshop,Ice Blue,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_ICE_BLUE,,#81D3EB,"129, 211, 235",GW_LAYER_ICE_BLUE,No action needed.
games workshop|imperial fist,Games Workshop,Imperial Fist,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_IMPERIAL_FIST,,#FFC928,"255, 201, 40",GW_CONTRAST_IMPERIAL_FIST,No action needed.
games workshop|imperial purple,Games Workshop,Imperial Purple,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_IMPERIAL_PURPLE,,#562F7E,"86, 47, 126",GW_LAYER_IMPERIAL_PURPLE,No action needed.
games workshop|imrik blue,Games Workshop,Imrik Blue,COMPLETE,1,1,0,Dry,Dry,GW_DRY_IMRIK_BLUE,,#67AED0,"103, 174, 208",GW_DRY_IMRIK_BLUE,No action needed.
games workshop|incubi darkness,Games Workshop,Incubi Darkness,COMPLETE,1,1,0,Base,Base,GW_BASE_INCUBI_DARKNESS,,#0B474A,"11, 71, 74",GW_BASE_INCUBI_DARKNESS,No action needed.
games workshop|ionrach skin,Games Workshop,Ionrach Skin,COMPLETE,1,1,0,Base,Base,GW_BASE_IONRACH_SKIN,,#C0BD81,"192, 189, 129",GW_BASE_IONRACH_SKIN,No action needed.
games workshop|iron hands steel,Games Workshop,Iron Hands Steel,COMPLETE,1,1,0,Base,Base,GW_BASE_IRON_HANDS_STEEL,,#807872,"128, 120, 114",GW_BASE_IRON_HANDS_STEEL,No action needed.
games workshop|iron warriors,Games Workshop,Iron Warriors,COMPLETE,1,1,0,Base,Base,GW_BASE_IRON_WARRIORS,,#393939,"57, 57, 57",GW_BASE_IRON_WARRIORS,No action needed.
games workshop|ironbreaker,Games Workshop,Ironbreaker,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_IRONBREAKER,,#A1A6A9,"161, 166, 169",GW_LAYER_IRONBREAKER,No action needed.
games workshop|ironjawz yellow,Games Workshop,Ironjawz Yellow,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_IRONJAWZ_YELLOW,,#E0B000,"224, 176, 0",GW_CONTRAST_IRONJAWZ_YELLOW,No action needed.
games workshop|iyanden darksun,Games Workshop,Iyanden Darksun,COMPLETE,1,1,0,Foundation,Foundation,GW_FOUNDATION_IYANDEN_DARKSUN,,#AD852E,"173, 133, 46",GW_FOUNDATION_IYANDEN_DARKSUN,No action needed.
games workshop|iyanden yellow,Games Workshop,Iyanden Yellow,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_IYANDEN_YELLOW,,#F0C020,"240, 192, 32",GW_CONTRAST_IYANDEN_YELLOW,No action needed.
games workshop|jade green,Games Workshop,Jade Green,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_JADE_GREEN,,#069B7D,"6, 155, 125",GW_LAYER_JADE_GREEN,No action needed.
games workshop|jokaero orange,Games Workshop,Jokaero Orange,COMPLETE,1,1,0,Base,Base,GW_BASE_JOKAERO_ORANGE,,#EE3823,"238, 56, 35",GW_BASE_JOKAERO_ORANGE,No action needed.
games workshop|kabalite green,Games Workshop,Kabalite Green,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_KABALITE_GREEN,,#038C67,"3, 140, 103",GW_LAYER_KABALITE_GREEN,No action needed.
games workshop|kakophoni purple,Games Workshop,Kakophoni Purple,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_KAKOPHONI_PURPLE,,#886AAE,"136, 106, 174",GW_LAYER_KAKOPHONI_PURPLE,No action needed.
games workshop|kantor blue,Games Workshop,Kantor Blue,COMPLETE,2,2,0,Air | Base,Air | Base,GW_AIR_KANTOR_BLUE | GW_BASE_KANTOR_BLUE,,#002151,"0, 33, 81",GW_BASE_KANTOR_BLUE,No action needed.
games workshop|karak stone,Games Workshop,Karak Stone,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_KARAK_STONE,,#BB9662,"187, 150, 98",GW_LAYER_KARAK_STONE,No action needed.
games workshop|karandras green,Games Workshop,Karandras Green,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_KARANDRAS_GREEN,,#2BCB3F,"43, 203, 63",GW_CONTRAST_KARANDRAS_GREEN,No action needed.
games workshop|khemri brown,Games Workshop,Khemri Brown,COMPLETE,1,1,0,Foundation,Foundation,GW_FOUNDATION_KHEMRI_BROWN,,#73614D,"115, 97, 77",GW_FOUNDATION_KHEMRI_BROWN,No action needed.
games workshop|khorne red,Games Workshop,Khorne Red,COMPLETE,2,2,0,Air | Base,Air | Base,GW_AIR_KHORNE_RED | GW_BASE_KHORNE_RED,,#6A0001,"106, 0, 1",GW_BASE_KHORNE_RED,No action needed.
games workshop|kindleflame,Games Workshop,Kindleflame,COMPLETE,1,1,0,Dry,Dry,GW_DRY_KINDLEFLAME,,#F79E86,"247, 158, 134",GW_DRY_KINDLEFLAME,No action needed.
games workshop|kislev flesh,Games Workshop,Kislev Flesh,COMPLETE,2,2,0,Air | Layer,Air | Layer,GW_AIR_KISLEV_FLESH | GW_LAYER_KISLEV_FLESH,,#D6A875,"214, 168, 117",GW_LAYER_KISLEV_FLESH,No action needed.
games workshop|knarloc green,Games Workshop,Knarloc Green,COMPLETE,1,1,0,Foundation,Foundation,GW_FOUNDATION_KNARLOC_GREEN,,#434F38,"67, 79, 56",GW_FOUNDATION_KNARLOC_GREEN,No action needed.
games workshop|knight questor flesh,Games Workshop,Knight-Questor Flesh,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_KNIGHT_QUESTOR_FLESH,,#C0BD81,"192, 189, 129",GW_LAYER_KNIGHT_QUESTOR_FLESH,No action needed.
games workshop|kommando khaki,Games Workshop,Kommando Khaki,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_KOMMANDO_KHAKI,,#9B8C7B,"155, 140, 123",GW_LAYER_KOMMANDO_KHAKI,No action needed.
games workshop|krieg khaki,Games Workshop,Krieg Khaki,COMPLETE,2,2,0,Edge | Layer,Edge | Layer,GW_EDGE_KRIEG_KHAKI | GW_LAYER_KRIEG_KHAKI,,#B7AD78,"183, 173, 120",GW_LAYER_KRIEG_KHAKI,No action needed.
games workshop|kroak green,Games Workshop,Kroak Green,COMPLETE,1,1,0,Shade,Shade,GW_SHADE_KROAK_GREEN,,#1BA169,"27, 161, 105",GW_SHADE_KROAK_GREEN,No action needed.
games workshop|kroxigor scales,Games Workshop,Kroxigor Scales,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_KROXIGOR_SCALES,,#00A9C0,"0, 169, 192",GW_CONTRAST_KROXIGOR_SCALES,No action needed.
games workshop|lahmian medium,Games Workshop,Lahmian Medium,COMPLETE,1,1,0,Technical,Technical,GW_TECHNICAL_LAHMIAN_MEDIUM,,#F5EDE2,"245, 237, 226",GW_TECHNICAL_LAHMIAN_MEDIUM,No action needed.
games workshop|lamenters yellow,Games Workshop,Lamenters Yellow,COMPLETE,1,1,0,Glaze,Glaze,GW_GLAZE_LAMENTERS_YELLOW,,#FFF56B,"255, 245, 107",GW_GLAZE_LAMENTERS_YELLOW,No action needed.
games workshop|leadbelcher,Games Workshop,Leadbelcher,COMPLETE,3,3,0,Air | Base | Spray,Air | Base | Spray,GW_AIR_LEADBELCHER | GW_BASE_LEADBELCHER | GW_SPRAY_LEADBELCHER,,#888D8F,"136, 141, 143",GW_BASE_LEADBELCHER,No action needed.
games workshop|leprous brown,Games Workshop,Leprous Brown,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_LEPROUS_BROWN,,#D88E2D,"216, 142, 45",GW_LAYER_LEPROUS_BROWN,No action needed.
games workshop|leviadon blue,Games Workshop,Leviadon Blue,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_LEVIADON_BLUE,,#1B2A52,"27, 42, 82",GW_CONTRAST_LEVIADON_BLUE,No action needed.
games workshop|leviathan purple,Games Workshop,Leviathan Purple,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_LEVIATHAN_PURPLE,,#4A2A6A,"74, 42, 106",GW_CONTRAST_LEVIATHAN_PURPLE,No action needed.
games workshop|leviathan purple wash,Games Workshop,Leviathan Purple Wash,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_LEVIATHAN_PURPLE_WASH,,#842994,"132, 41, 148",GW_LAYER_LEVIATHAN_PURPLE_WASH,No action needed.
games workshop|liberator gold,Games Workshop,Liberator Gold,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_LIBERATOR_GOLD,,#D3B587,"211, 181, 135",GW_LAYER_LIBERATOR_GOLD,No action needed.
games workshop|liche purple,Games Workshop,Liche Purple,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_LICHE_PURPLE,,#2C2D8B,"44, 45, 139",GW_LAYER_LICHE_PURPLE,No action needed.
games workshop|lightning bolt blue,Games Workshop,Lightning Bolt Blue,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_LIGHTNING_BOLT_BLUE,,#8BB9DD,"139, 185, 221",GW_LAYER_LIGHTNING_BOLT_BLUE,No action needed.
games workshop|longbeard grey,Games Workshop,Longbeard Grey,COMPLETE,1,1,0,Dry,Dry,GW_DRY_LONGBEARD_GREY,,#CECEAF,"206, 206, 175",GW_DRY_LONGBEARD_GREY,No action needed.
games workshop|loren forest,Games Workshop,Loren Forest,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_LOREN_FOREST,,#50702D,"80, 112, 45",GW_LAYER_LOREN_FOREST,No action needed.
games workshop|lothern blue,Games Workshop,Lothern Blue,COMPLETE,2,2,0,Air | Layer,Air | Layer,GW_AIR_LOTHERN_BLUE | GW_LAYER_LOTHERN_BLUE,,#34A2CF,"52, 162, 207",GW_LAYER_LOTHERN_BLUE,No action needed.
games workshop|lucius lilac,Games Workshop,Lucius Lilac,COMPLETE,1,1,0,Dry,Dry,GW_DRY_LUCIUS_LILAC,,#B69FCC,"182, 159, 204",GW_DRY_LUCIUS_LILAC,No action needed.
games workshop|lugganath orange,Games Workshop,Lugganath Orange,COMPLETE,2,2,0,Edge | Layer,Edge | Layer,GW_EDGE_LUGGANATH_ORANGE | GW_LAYER_LUGGANATH_ORANGE,,#F89E86,"248, 158, 134",GW_LAYER_LUGGANATH_ORANGE,No action needed.
games workshop|lupercal green,Games Workshop,Lupercal Green,COMPLETE,1,1,0,Base,Base,GW_BASE_LUPERCAL_GREEN,,#002C2C,"0, 44, 44",GW_BASE_LUPERCAL_GREEN,No action needed.
games workshop|lustrian undergrowth,Games Workshop,Lustrian Undergrowth,COMPLETE,2,2,0,Technical | Texture,Technical | Texture,GW_TECHNICAL_LUSTRIAN_UNDERGROWTH | GW_TEXTURE_LUSTRIAN_UNDERGROWTH,,#709811,"112, 152, 17",GW_TECHNICAL_LUSTRIAN_UNDERGROWTH,No action needed.
games workshop|luxion purple,Games Workshop,Luxion Purple,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_LUXION_PURPLE,,#7A4DFF,"122, 77, 255",GW_CONTRAST_LUXION_PURPLE,No action needed.
games workshop|macharius solar orange,Games Workshop,Macharius Solar Orange,COMPLETE,1,1,0,Foundation,Foundation,GW_FOUNDATION_MACHARIUS_SOLAR_ORANGE,,#B94023,"185, 64, 35",GW_FOUNDATION_MACHARIUS_SOLAR_ORANGE,No action needed.
games workshop|macragge blue,Games Workshop,Macragge Blue,COMPLETE,3,3,0,Air | Base | Spray,Air | Base | Spray,GW_AIR_MACRAGGE_BLUE | GW_BASE_MACRAGGE_BLUE | GW_SPRAY_MACRAGGE_BLUE,,#0D407F,"13, 64, 127",GW_BASE_MACRAGGE_BLUE,No action needed.
games workshop|magenta ink,Games Workshop,Magenta Ink,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_MAGENTA_INK,,#513D3C,"81, 61, 60",GW_LAYER_MAGENTA_INK,No action needed.
games workshop|magmadroth flame,Games Workshop,Magmadroth Flame,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_MAGMADROTH_FLAME,,#F04A24,"240, 74, 36",GW_CONTRAST_MAGMADROTH_FLAME,No action needed.
games workshop|magos purple,Games Workshop,Magos Purple,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_MAGOS_PURPLE,,#D7B6D8,"215, 182, 216",GW_CONTRAST_MAGOS_PURPLE,No action needed.
games workshop|mantis warriors green,Games Workshop,Mantis Warriors Green,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_MANTIS_WARRIORS_GREEN,,#B8C72A,"184, 199, 42",GW_CONTRAST_MANTIS_WARRIORS_GREEN,No action needed.
games workshop|martian ironcrust,Games Workshop,Martian Ironcrust,COMPLETE,2,2,0,Technical | Texture,Technical | Texture,GW_TECHNICAL_MARTIAN_IRONCRUST | GW_TEXTURE_MARTIAN_IRONCRUST,,#F5945D,"245, 148, 93",GW_TECHNICAL_MARTIAN_IRONCRUST,No action needed.
games workshop|martian ironearth,Games Workshop,Martian Ironearth,COMPLETE,2,2,0,Technical | Texture,Technical | Texture,GW_TECHNICAL_MARTIAN_IRONEARTH | GW_TEXTURE_MARTIAN_IRONEARTH,,#935442,"147, 84, 66",GW_TECHNICAL_MARTIAN_IRONEARTH,No action needed.
games workshop|mechanicus standard grey,Games Workshop,Mechanicus Standard Grey,COMPLETE,3,3,0,Air | Base | Spray,Air | Base | Spray,GW_AIR_MECHANICUS_STANDARD_GREY | GW_BASE_MECHANICUS_STANDARD_GREY | GW_SPRAY_MECHANICUS_STANDARD_GREY,,#3D4B4D,"61, 75, 77",GW_BASE_MECHANICUS_STANDARD_GREY,No action needed.
games workshop|mechanicus std grey,Games Workshop,Mechanicus Std Grey,COMPLETE,1,1,0,Base,Base,GW_BASE_MECHANICUS_STD_GREY,,#3D4B4D,"61, 75, 77",GW_BASE_MECHANICUS_STD_GREY,No action needed.
games workshop|mechrite red,Games Workshop,Mechrite Red,COMPLETE,1,1,0,Foundation,Foundation,GW_FOUNDATION_MECHRITE_RED,,#A82014,"168, 32, 20",GW_FOUNDATION_MECHRITE_RED,No action needed.
games workshop|mephiston red,Games Workshop,Mephiston Red,COMPLETE,3,3,0,Air | Base | Spray,Air | Base | Spray,GW_AIR_MEPHISTON_RED | GW_BASE_MEPHISTON_RED | GW_SPRAY_MEPHISTON_RED,,#9A1115,"154, 17, 21",GW_BASE_MEPHISTON_RED,No action needed.
games workshop|midnight blue,Games Workshop,Midnight Blue,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_MIDNIGHT_BLUE,,#002561,"0, 37, 97",GW_LAYER_MIDNIGHT_BLUE,No action needed.
games workshop|militarum green,Games Workshop,Militarum Green,COMPLETE,1,1,0,Contrast,Contrast,GW_CONTRAST_MILITARUM_GREEN,,#66733A,"102, 115, 58",GW_CONTRAST_MILITARUM_GREEN,No action needed.
games workshop|mithril silver,Games Workshop,Mithril Silver,COMPLETE,1,1,0,Layer,Layer,GW_LAYER_MITHRIL_SILVER,,#B7BEC5,"183, 190, 197",GW_LAYER_MITHRIL_SILVER,No action needed.
games workshop|moot green,Games Workshop,Moot Green,COMPLETE,2,2,0,Air | Layer,Air | Layer,GW_AIR_MOOT_GREEN | GW_LAYER_MOOT_GREEN,,#52B244,"82, 178, 68",GW_LAYER_MOOT_GREEN,No action needed.
games workshop|mordant earth,Games Workshop,Mordant Earth,COMPLETE,1,1,0,Technical,Technical,GW_TECHNICAL_MORDANT_EARTH,,#33312D,"51, 49, 45",GW_TECHNICAL_MORDANT_EARTH,No action needed.
games workshop|mordian blue,Games Workshop,Mordian Blue,COMPLETE,1,1,0,Foundation,Foundation,GW_FOUNDATION_MORDIAN_BLUE,,#244882,"36, 72, 130",GW_FOUNDATION_MORDIAN_BLUE,No action needed.
games workshop|morghast bone,Games Workshop,Morghast Bone,COMPLETE,1,1,0,Base,Base,GW_BASE_MORGHAST_BONE,,#D5C79A,"213, 199, 154",GW_BASE_MORGHAST_BONE,No action needed.
games workshop|mortarion green clear,Games Workshop,Mortarion Green Clear,COMPLETE,1,1,0,Air,Air,GW_AIR_MORTARION_GREEN_CLEAR,,#1E7331,"30, 115, 49",GW_AIR_MORTARION_GREEN_CLEAR,No action needed.
games workshop|mortarion grime,Games Workshop,Mortarion Grime,COMPLETE,1,1,0,Shade,Shade,GW_SHADE_MORTARION_GRIME,,#5A573F,"90, 87, 63",GW_SHADE_MORTARION_GRIME,No action needed.
games workshop|mourn mountain snow,Games Workshop,Mourn Mountain Snow,COMPLETE,1,1,0,Texture,Texture,GW_TEXTURE_MOURN_MOUNTAIN_SNOW,,#E9EAEB,"233, 234, 235",GW_TEXTURE_MOURN_MOUNTAIN_SNOW,No action needed.
games workshop|mourn mountian snow,Games Workshop,Mourn Mountian Snow,COMPLETE,1,1,0,Technical,Technical,GW_TECHNICAL_MOURN_MOUNTIAN_SNOW,,#E9EAEB,"233, 234, 235",GW_TECHNICAL_MOURN_MOUNTIAN_SNOW,No action needed.
games workshop|mournfang brown,Games Workshop,Mournfang Brown,COMPLETE,2,2,0,Air | Base,Air | Base,GW_AIR_MOURNFANG_BROWN | GW_BASE_MOURNFANG_BROWN,,#640909,"100, 9, 9",GW_BASE_MOURNFANG_BROWN,No action needed.
games workshop|naggaroth night,Games Workshop,Naggaroth Night,COMPLETE,1,1,0,Base,Base,GW_BASE_NAGGAROTH_NIGHT,,#3D3354,"61, 51, 84",GW_BASE_NAGGAROTH_NIGHT,No action needed.
